location,skew,distortion
baltimore,100,70
baltimore,200,115
baltimore,500,137
baltimore,1000,154
baltimore,2000,180
baltimore,5000,197
baltimore,10000,198
baltimore,20000,197
baltimore,50000,200
dallas,100,49
dallas,200,66
dallas,500,115
dallas,1000,138
dallas,2000,137
dallas,5000,151
dallas,10000,150
dallas,20000,151
dallas,50000,157
decatur,100,0
decatur,200,0
decatur,500,0
decatur,1000,0
decatur,2000,2
decatur,5000,5
decatur,10000,6
decatur,20000,6
decatur,50000,10
newhaven,100,20
newhaven,200,24
newhaven,500,38
newhaven,1000,42
newhaven,2000,63
newhaven,5000,78
newhaven,10000,88
newhaven,20000,88
newhaven,50000,73
new_york,100,79
new_york,200,105
new_york,500,143
new_york,1000,151
new_york,2000,176
new_york,5000,196
new_york,10000,198
new_york,20000,200
new_york,50000,200
redmond,100,27
redmond,200,41
redmond,500,55
redmond,1000,77
redmond,2000,98
redmond,5000,161
redmond,10000,163
redmond,20000,158
redmond,50000,113
