location,skew,distortion
baltimore,100,5
baltimore,200,5
baltimore,500,5
baltimore,1000,5
baltimore,2000,5
baltimore,5000,5
baltimore,10000,5
baltimore,20000,5
baltimore,50000,5
dallas,100,5
dallas,200,5
dallas,500,5
dallas,1000,5
dallas,2000,5
dallas,5000,5
dallas,10000,5
dallas,20000,5
dallas,50000,5
decatur,100,0
decatur,200,0
decatur,500,0
decatur,1000,0
decatur,2000,0
decatur,5000,0
decatur,10000,2
decatur,20000,2
new_york,100,5
new_york,200,5
new_york,500,5
new_york,1000,5
new_york,2000,5
new_york,5000,5
new_york,10000,5
new_york,20000,5
new_york,50000,5
newhaven,100,5
newhaven,200,5
newhaven,500,5
newhaven,1000,5
newhaven,2000,5
newhaven,5000,5
newhaven,10000,5
newhaven,20000,5
newhaven,50000,5
redmond,100,5
redmond,200,5
redmond,500,5
redmond,1000,5
redmond,2000,5
redmond,5000,5
redmond,10000,5
redmond,20000,5
redmond,50000,5
