location,skew,distortion
baltimore,50000,23
baltimore,500,4
baltimore,5000,19
baltimore,10000,23
baltimore,100,0
baltimore,20000,24
baltimore,200,2
baltimore,2000,9
baltimore,1000,8
redmond,50000,15
redmond,500,2
redmond,5000,12
redmond,10000,12
redmond,100,0
redmond,20000,15
redmond,200,1
redmond,2000,6
redmond,1000,5
dallas,50000,7
dallas,500,2
dallas,5000,12
dallas,10000,23
dallas,100,0
dallas,20000,25
dallas,200,0
dallas,2000,3
dallas,1000,3
newhaven,50000,16
newhaven,500,4
newhaven,5000,12
newhaven,10000,15
newhaven,100,0
newhaven,20000,15
newhaven,200,0
newhaven,2000,8
newhaven,1000,5
new_york,50000,26
new_york,500,10
new_york,5000,22
new_york,10000,26
new_york,100,0
new_york,20000,26
new_york,200,5
new_york,2000,18
new_york,1000,10
decatur,500,0
decatur,5000,0
decatur,10000,2
decatur,100,0
decatur,20000,2
decatur,200,0
decatur,2000,0
decatur,1000,0
